                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1826,                 1.4725,                 1.6996,                 0.6555,                0.71607,                0.69204,                0.35513,                 1.7022,                 2.6697,                 1.9958,               0.067119,             0.00033213,             0.00033213
                      2,                 1.1141,                 1.2512,                 1.6267,                0.59546,                0.72367,                 0.6539,                0.46744,                 1.1651,                 1.4643,                 1.5012,               0.034119,             0.00066532,             0.00066532
                      3,                 1.0874,                 1.2005,                 1.5988,                0.79877,                0.77236,                 0.7956,                0.51456,                 1.1599,                 1.1331,                 1.5038,              0.0011182,             0.00099791,             0.00099791
                      4,                 1.0404,                 1.1382,                 1.5604,                0.83054,                0.79534,                0.82421,                0.56962,                 1.1983,                 1.0929,                 1.5063,               0.000998,               0.000998,               0.000998
                      5,                 1.0128,                 1.0902,                 1.5346,                0.79987,                0.73527,                 0.8088,                0.55677,                 1.0869,                 1.2943,                 1.3959,               0.000998,               0.000998,               0.000998
                      6,                0.98037,                 1.0397,                 1.5047,                0.85561,                0.85313,                0.88123,                0.64105,                  1.066,                0.92714,                 1.2864,             0.00099645,             0.00099645,             0.00099645
                      7,                0.94374,                0.98017,                 1.4654,                0.86534,                0.83626,                0.88278,                 0.6722,                0.97886,                0.89865,                 1.2378,             0.00099446,             0.00099446,             0.00099446
                      8,                0.93196,                0.97068,                 1.4497,                0.83241,                0.79705,                0.84514,                 0.6323,                 1.0013,                0.87676,                 1.2681,             0.00099203,             0.00099203,             0.00099203
                      9,                0.92009,                0.95052,                 1.4466,                0.85883,                0.82171,                0.85965,                0.63422,                0.97541,                0.79205,                 1.2275,             0.00098916,             0.00098916,             0.00098916
                     10,                0.89016,                0.90363,                 1.4262,                0.86126,                0.86604,                0.89287,                0.65233,                0.98511,                0.80324,                  1.239,             0.00098586,             0.00098586,             0.00098586
